question1	question2	is_duplicate
남친이 내 사진 프사로 안해.	남친이 내 사진을 프사로 안 바꿔.	0
고데기 했는데 망했어	고데기 망했어	0
짝남이 생겼는데 뭐부터 해야할까.	짝남이 생겼는데 뭐부터 해야할까.	0
핸드폰 꺼질때까지 톡	핸드폰 꺼지기 직전	0
사랑 앞에서 죄인이 돼	사랑이 참 귀엽다.	1
과외비 비싸?	과외비 부담되겠지?	0
무서운 얘기 해줘	나 무서운 영화 보고 왔다	1
4년 사겼는데도 너무 좋아	4년째 연애하고 있어	0
군인입니다 환승이별.	권태기 이기적인 거 알지만	1
진짜 잠 좀 자고 싶네	질긴 인연 드디어 끝인 것 같네	1
헤어지지 열흘짼데 너무 힘드네	헤어진 애인 카톡 안들어간다고 다짐 했는데.	1
재회를 바라는것도 새로운 사랑을 원하는것도 아닌데.	재회했는데 행복하지 않네	1
카톡 상메에 아직도 누구 좋아한다는 티 내는 법 좀.	카톡 상메에 누구 좋아한다고 티 내는 법 좀.	0
이 사람이랑 결혼해도 될까	시어머니가 오라고 하셔	1
썸일 때 다른 사람 만나면	썸일 때 다른 사람 만나면	0
짝남이랑 썸 탈 것 같애.	짝남이랑 같이 도서관 가고 싶어. 방법 좀.	1
또 지각하네	자꾸 지각하네	0
결국엔 끝이라는 생각	결혼 전재 동거가 끝났네	1
썸남의 계속되는 약속 취소.	썸남이 자꾸 약속 취소해.	0
혼자라는건 여전히 많이 힘드네	환경 때문에 헤어진 여자친구	1
짝사랑 하니까 감정 기복 장난 아님.	짝사랑 하니까 감정 기복 장난 아님.	0
위층 소음 괴롭다.	징글징글한 층간소음	0
살쫌 빼고나서 필라테스 해보고싶어	운동해야 하는데 귀찮아	1
썸 타는 거 티내고 싶진 않아.	썸 타는 거 티 안 났으면 좋겠다..	0
사랑하고 싶은데 내가 자꾸 구속해	사랑이라고 구속해	0
나를 정말 사랑하는 걸까?	나를 정말 사랑하는 걸까?	0
다음에 놀러가고 싶어요	가족여행으로 갔는데 증말 천국이였어	1
면도해야 되는데 귀찮아	면도하는 게 낫겠지?	0
내 키 맞춰 봐	내 키가 몇이게?	0
늦었는데도 안 오네	같이 해온 5년	1
짝사랑은 이제 그만할래.	그냥 혼자 설레발 치는 사랑은 그만 할래	0
기다림 속에 갇혀 있어	기다리는 거 지쳐	0
사랑으로 가능한 것?	사랑으로 뭐가 가능해	1
좋아하는 사람 생겼으면 좋겠어.	좋아하는 사람 생겼으면.	0
커플 사진 보니 더 슬퍼	택시비 너무 비싸	1
제발 도와줘	제발 저좀 살려주세요	0
비밀번호 뭐였더라	빌어먹을.	1
짝사랑 했던 여자가 떠나갔네.	짝사랑 했던 여자가 떠나갔네.	0
거래처 직원을 좋아하게 됐는데 어떻게 연락할까.	별로인걸 아는데도 좋아해. 이런 내가 너무 싫어.	1
뇌용량 초과	머리 용량 초과	0
신경이 바늘 끝 같아	자꾸 날카로워진다	0
이직각인가	이직해야할지 고민이야	0
환승이별 당했습니다 ㅎㅎㅎ	환승했다는 소식을 알게되었음	0
이상적인 연애란?	이상적인 연애란?	0
밥 태웠어	밥 탔다	0
결혼 결심한 계기가 있었어?	결혼 결심 이유	0
남자후폭풍	낮에는 그나마 괜찮은데	1
처음 만난 사람한테 연락하는 게 어색해	첨 만났는데 연락하는 게 익숙하지가 않아	0
커피 마시면서 과제 하는 중	카페에서 과제 하고 있어	0
정신 못차리겠다.	정신차리고 싶어	0
걸핏하면 차단하는 놈	견디기가 너무 힘드네	1
혼자 자유 여행 가는 거 괜찮을까	패키지여행이 좋을까 자유여행이 좋을까	0
짤릴 필이 와	나 짤릴 거 같아	0
비밀은 없는 거겠지	비밀은 없어	0
썸 정리하고 싶으면	썸 정리하고 싶어	0
같이 오르고 있는줄 알았는데.	걔 없이 잘지내 보려구	1
썸남 만나기로 했는데 치마? 바지?	썸남 만나기로 했는데 뭐 입지?	0
또다시 꿈에 나왔네.	뜬금 시간을 가지자고 해서	1
수염 기르고 싶다	수염 길러볼까	0
여사친인데 좋아하는 듯.	여사친인데 좋아하는 듯.	0
나도 연애해 보고 싶어	연애하고 싶다.	0
짝남이 다른 여자를 좋아하는 걸 보니 자존감이 떨어져.	짝남이 다른 여자를 좋아하는 걸 보니 자존감이 떨어져.	0
술 고프다	술 땡겨	0
별 사람이 많다	사람은 진짜 다른 가봐	0
이별은 받아들이는 것인가	이별은 받아들인다는 것	0
은퇴가 멀지 않은 것 같아	은퇴하고 뭐하지	1
스키장 알바 하면 재밌을 듯	스키장 알바 재밌대	0
시간이 약이긴 한가봅니다	시도때도없이 생각나네 그녀가	1
주체할수 없는 눈물이 흐르네.	죽을 것 같아	1
언제쯤 이 끈을 놓아야할까. 지금일까.?	언젠가 하는 거죠	1
코코넛오일 먹기 싫어	코코넛오일 맛없어	0
나 미쳐가는 것 같아.	선풍기 틀어도 더워	1
짝남에게 같이 옷보러가자고 해도 될까?	짝남에게 같이 옷보러가자고 해도 될까?	0
이력서 몇 개째 쓰는건지 모르겠다	이력서 광탈 중이야	0
매주 월요일 그를 볼 수 있어.	매주 월요일 그를 만나.	0
프로포즈할때 영상편지도 주려고	프로포즈할때 영상편지도 주려고	0
여자끼린데 썸 타는 경우도 있나	여자끼린데 썸 타는 경우도 있나	0
월급만 나만 그대로야	내 월급만 안 올라	0
퇴사하면 후련할거 같아	퇴사 예정이야 후련하다	0
카톡 뭐라 보낼까?	처음에 카톡 뭐라 보내지	0
잠 들기가 힘드네	잠들기가 어려워	0
만나는 사람마다 유형이 비슷해	내가 만나는 사람은 유형이 비슷해	0
사랑하는 사람이랑 내가 너무 차이나	사랑하는 사람이랑 내가 좀 많이 차이나	0
연애하는 것처럼 결혼 가능해?	연애하고 싶은데 좋아하는 사람이 없어.	1
미친것같아	미친듯이 힘들다.	0
마음이 무거워져	생각만 해도 마음이 무거워	0
많이 좋아하던 전남친이랑 다시 사겨도 될까?	전남친이랑 다시 사겨도 될까?	0
미래를 함께할 반려자인지 확신이 아직 없어	반려자가 맞는지 확신이 없어	0
차 살까	차 사는 게 낫겠지?	0
사랑의 기준은 뭘까	사랑이 익숙해지면 정으로	1
눈물이 뚝 떨어져.	재회를 했는데 다시 헤어짐	1
이별병.	이별예감	1
자장면이 좋아 짬뽕이 좋아	자장면? 짬뽕?	0
어른이 된다는 건 뭘까	어른이 된다는 것	0
이상한나의취미.이별을세는것.	이용만 당했던건가	1
나한테 너무 불만이 많아	시크하고 불만이 많아	0
남자친구랑 너무 좋은데 점 본가에서는 만나지말라해.	본가에서는 만나지 말라해.	0
짝남 잊으려고 나 혼자 나쁘게 생각하는 내 자신이 증오스러워.	짝남 잊으려고 나 혼자 나쁘게 생각하는 내 자신이 증오스러워.	0
이 사람 좋아하는 게 맞을까?	좋아하는 게 맞을까?	0
오늘 하루도 너없이 잘 버텼다	오늘 혼자 영화보고 왔어	1
친한 친군한테 뒤통수 맞음	친한 친군데 호박씨깜	0
상대가 바람펴서 헤어진지 1년이 지났습니다	상처 안받아봤어?	1
버려졌다는느낌	버려진 사람들을 위한 지침	0
피곤해서 못일어나겠어	피곤해서 하루종일 누워있는 중	0
화장도 못하고 전남친 만남	노메이크업인데 전남친 만남	0
기분이 묘해	이 기분은 뭘까	0
여친이 있는데 다른 사람이 좋아지고 있어.	여행 온 김에 짝녀 선물 사려하는데 어떻게 생각함?	1
엄마가 선 보라고 하시는데	부모님이 선 보래	0
헤어진게 잘한걸까	헤어진지 12일째인데.	1
헤어지고 나니 더 소중해	헤어진지 일주일됐습니다.	1
여친 데려다 주고 막차 놓침	데려다 주느라 막차 놓침	0
왜 안되는걸까?	나 심리상담 받고 왔어	1
친구 온대	친구가 지금 놀러온대	0
간통 극복하는 방법	감정에 솔직했을 뿐인데 남자들은 싫은 가봐	1
내 남자로 만들기	내가 너무 기댄 거 같아	1
남자가 낚시를 너무 좋아해	낚시 좋아하는 남자 어때?	0
동성동본으로 헤어질려고 합니다 .	두달이 되가네.	1
다른 사람들은 행복해 보이는데	다른 사람들은 행복할까	0
더 답답한 오늘	계속 답답해	0
친구라도 될 걸 그랬나봐요.	친구라도 될 걸 그랬나봐요.	0
야 너!	양다리? 어장관리?	1
나는 뭘 잘할까	잘하는 게 뭘까	0
얼마나 행복해질려고 이렇게 힘들지	내년에는 더 행복해질려고 이렇게 힘든가봅니다	0
커피 좀 줄여야겠어.	커피 그만 마셔야지	0
문화센터라도 가야겠다.	문화센터 가야지	0
남편이 나보다 집안일 더 잘해	남편이 집안일을 너무 잘해	0
이상하게 자꾸 나만 좋아하는 것 같은 느낌이 들게 해	혼자 좋아하는 이야기.	0
졸업 선물 추천	졸업 선물 뭐가 좋을까	0
스쿼트 하면 무릎에 안좋겠지?	무릎 안 좋으면 스쿼트 하면 안되겠지?	0
여자친구가 담배를 피는게 싫어.	여자친구가 담배를 피는게 싫어.	0
마음이 착잡하다	마음이 복잡해	0
이별 후 젤 힘들 건 허전함인 거 같아	이별.	1
자신감 제로	자신감이 없어	0
썸 타고 있는데 카톡 차단 당함	썸인 줄 알았는데 카톡 차단 당함	1
핸드폰이 넘 느려 어플 좀 지울까	핸드폰 어플 지울까	0
달달한 마카롱 먹고 싶다	마카롱 먹고 싶다	0
살려줘 라는 말이 무심코 튀어 나온다	삼주라는 시간이 흘렀네	1
아직 많이 부족한가	내가 많이 부족한가	0
면도기 새로 사야돼	면도기 또 사야돼	0
나이도 있으니 영양제 좀 챙겨볼까 	영양제 챙겨 먹을 나이가 됐어	0
더우니까 무서운 이야기 듣고싶지	무서운 이야기 해줄까?	0
클럽에서 만난 남자친구와 오래 갈 수 있을까?	클럽에서 만난 남자친구와 오래 갈 수 있을까?	0
덕수궁 돌담길 따라서 둘이 걸었어.	덕수궁 돌담길 걸었어	0
기분이 묘한 하루네	기억이 불쑥 날 때	1
나만의 시간이 필요해	나만의 시간이 필요한 것 같아	0
선물을 주고 싶은데 뭘 주면 좋아할까요?	선물을 뭘 주면 좋아할까	0
창피해	괜히 창피해	0
아직도 잊지 못했던 거니	아침이 젤 힘드네	1
출근하기 싫어	직장 가기 싫어	0
나는 참 단순했다	나랑 만날땐 안바꾸던 프사	1
내가 좋아해도 될까?	내가 좋아하면 안 되는거 아닐까?	0
그만 두고 나오고 싶어	사표 던지고 나오고 싶어	0
플라토닉 연애 어때?	플라토닉 연애 어때?	0
오늘따라 더 힘드네	오늘밤은 비가 내립니다	1
정말 할게 없네.	정말 힘드네. 결혼 앞두고 생각할 시간.	1
남자친구가 말을 예쁘게 해	남자친구가 말 예쁘게 해서 좋아	0
좀 일찍 회사에서 나왔어	조기 퇴근했어	0
집 나가서 혼자 살고 싶다.	자취하고 싶다	0
대기업 취직 어려울까	대기업에 취직하고 싶어	0
썸 탈출하고 싶어.	썸 탈출하고 싶어.	0
첫사랑 보고 싶어	첫사랑 보고 싶어	0
시간이 너무 없다.	생각이 안나	1
가족이 아니지만 가족같은.	갑자기 사랑한다고 이야기해도 될까?	1
너에게 쓴다	너한테 이글 안 보여 줄거다 .	1
나 아직도 애 같아.	나 아직 어른 아닌 거 같아	0
나 맨날 놀리는 애가 있는데 나 좋아하는건가?	나 설레는데 혹시 썸?	1
술 마셨는데 썸 타는 여자한테 전화해도 되는 부분?	이별 뒤.	1
헤어진지 10일째	헤어진지 1년 카톡해도 될까?	1
리치치즈피자 먹고 싶다.	피자 먹고 싶어	0
혼자 영화나 봐야겠다.	혼영해야지	0
여자친구 소개 시켜줬어.	친구를 소개 시켜줬어.	1
점이라도 볼까	점 보러 가볼까?	0
배고파서 자다 깼어	배고파서 일어났어	0
친구로 좋아하는 건지 이성으로 좋아하는 건지 모르겠어요.	친구로 좋아하는 건지 이성으로 좋아하는 건지 모르겠어요.	0
맞춤법 자꾸 틀려서 싫어.	맞춤법 많이 틀리는 사람	0
가슴이 아파	가짜 이별 4개월만에 마침표 찍었습니다.	1
신혼여행 어디로 갈까?	신혼여행 어디로 갈까?	0
길에서 첫사랑 만났어	길에서 우연히 첫사랑 만났어	0
나 자체를 사랑해줄 사람이 있을까	나란 사람을 사랑해줄 사람이 있을까	0
나 문제가 많은거 같아	나한테 문제가 많아	0
남친이 나를 안 좋아하는 것 같은데 내가 붙잡고 있는 것 같아.	남친을 그냥 내가 붙잡고 있는 것 같아.	0
짜증난다!!	짧은 연애였지만 후유증이 기네	1
또 다시 돌아온 불금이네	또 다시 이별입니다.	1
여자친구에게 힘들때 어떻게해?	여자친구가 힘들게 할때 어떻게 잘 말하지?	0
전 여친 카톡 메인 프로필.	전 제가 찬건 줄 알았는데	1
여자가 남자한테 잘해주면 질려?	여자가 남자한테 너무 잘해주면 오히려 질려하나?	0
부모님이 이혼하려는 거 같은데 나는 어떻게 하지?	부모님이 이혼하려는 거 같아.	0
스키 강습 받아야 될까?	스키 처음 타는데 강습 받아야 되나?	0
여자들은 몇 년이고 짝사랑하기도 해?	여자들은 몇 년이고 말안하고 짝사랑하기도 해?	0
이별하고 나니 마음이 찢어 집니다.	헤어지고 너무 예민해졌어	1
썸남한테 같이 카공하자고 할까?	썸남한테 같이 카공하자고 할까?	0
많이 만났는데 아직도 왜 모르지?	그렇게 오래 만났는데 아직도 왜 모르지?	0
사랑이 끝난 것 같아	사랑이 끝났어.	0
좋아하는 남자애한테 답장이 없어. 나 안좋아하는 거 맞지.	좋아하는 마음 들면 고백해야 되는거 아님?	1
치매일까봐 무섭다.	치매이면 어쩌지	0
아침 일찍 일어나 조깅하고 있어	요즘 조깅하고 있어	0
의견 차이가 있을 때 나 너무 무시해	나 너무 무시해	0
오늘 마지막 사진을 정리했습니다	오늘 보기로 했던 그녀, 못 보았네	1
맛있을 줄 알았는데.	뭔가 맛이 이상해	1
비만 판정 받았어	나 비만이야	0
남자는 좋아하는 여자랑 약속 안 까먹겠죠?	남자들은 좋아하는 여자한테 이럴 수 있어?	1
좋아하던 사람하고 멀리 떨어져 있으면 더 보고 싶어져?	좋아하던 사람하고 멀리 떨어져 있으면 더 보고 싶어져?	0
엄마 생각난다	엄마 보고 싶다	0
사회에서도 좋은 사람 많이 만날 수 있을까?	사회에서 좋은 사람 만날 수 있을까?	0
부럽네	분노만 남아	1
생각할 시간을 가지자는 그녀	생일축하했다 바보야	1
모쏠 남자와의 썸	모쏠 남자랑 썸타는 중	0
이사하니까 정리할 게 많아	이사하는 것도 일이다	0
너 미워	너 때문이야	0
짝남이 외국인인데 계속 친한 척하면 부담스러워 할까?	짝남이 외국인인데 계속 친한 척하면 부담스러워 할까?	0
집이 더러워	너무 지저분해	0
머리가 핑핑 도네	맥주 한 캔마시며.	1
썸과 연인 사이	썸과 연인 사이	0
끝이보였던 연애	나 너한테 다시 돌아가면 받아줄꺼야?? 라는 말.	1
처음에는 가벼운 마음이었는데	처음에는 가벼운 마음이었는데	0
모닝콜 해달라고 하는대 좋아하는 걸까?	모닝콜 해달라고 하는대 좋아하는 걸까?	0
으흠	의미 부여 하면 안되겠지만	1
학원폭력 때문에 학교 가기 싫어	학폭 없어졌으면	0
친구들이랑 가기 좋은 곳	친구들이랑 어디 놀러가지	0
사내에서 비밀 연애 하고 있어	비밀연애 하고 있어	0
미칠 것 같아	밑바닥까지 봐서 속은 휴련하네	1
몸무게 좀 줄었으면	미용 몸무게하고 싶다	0
나 뭐 먹고 살지	아무래도 내 체질이 공부는 아닌 것 같아	1
마음을 정리해야 할 것 같아.	맴찢이지만 정리해야지	0
날씨 좀 풀린거 같아	날씨 풀렸다	0
언젠가 자기 복제가 될까	자기 복제가 될까	0
왜 사랑한다고 표현을 안 할까?	왜 사랑한다고 표현을 안 할까?	0
다니던 회사를 그만두고 1년간 여행을 가자고 해.	더 사랑하고 싶다	1
사랑싸움 그만하고 싶어	사랑싸움 힘들다	0
꽃다발 선물 받았어	꽃다발 받았어	0
커플링 맞출까?	커플링 맞춰볼까?	0
아 몰라 자야겠다.	잘래	0
친구들이 사랑하니까 예뻐졌대	친구들이 사랑하니까 예뻐졌대	0
우린 운명인줄 알았는데	우린 운명인줄 알았는데	0
여행 가고 싶은데 시간이 없어.	여행갈 시간도 없다	0
썸타고 있는데 소개팅 나가도 될까요?	썸타고 있는데 소개팅 나가도 될까요?	0
날씨 짱 좋아	오늘 날이 좋아	0
인내	일어나자마자 우울	1
결혼식장 벌써 차있더라	결혼적령기가 지나면 결혼하기 힘들겠지?	1
좋아했던 사람 영원히 잊을 수 없을까?	좋아했던 기억 영원히 없앨 수는 없을까.	0
하품이 자꾸 나오네	하품 나와	0
과일 먹어야지	과일 챙겨 먹어야지	0
방학은 너무 심심해	방학했더니 심심해	0
썸일 때도 질투함?	썸일 때도 질투나나	0
자꾸 미리 걱정해	혼자 앞서서 생각해	0
마지막 짐 갖다주러 가는 길	붙잡아보려 합니다. 후회하지 않게	1
여자한테 언제 설레?	여자한테 언제 설레?	0
기술 좀 배울까	기술 배울까	0
주제 넘은 짓 한거 같아	내가 주제를 몰랐나봐	0
힌트 좀 안주나	힌트 좀 줬으면 좋겠어	0
사랑한다고 말해줘	사랑한다고 말해	0
좋아하는 여자애한테 어떻게 관심 표현하는지 조언 좀.	좋아하는 여자애한테 어떻게 관심 표현하는지 조언 좀.	0
상황이 복잡하다	주변 상황이 힘들게 하는 것 같아	1
여사친이랑 사귀는 거 가능?	여사친이랑 연인 되는거 가능?	0
헤어진지도 어느덧 반년	헤어짐	1
알고보니 나만 바보네	야	1
기차 타고 여행 가고 싶어	기차여행 가고 싶어	0
오늘 기분은 설명이 안돼	오늘 기분을 뭐라고 해야하나	0
짝남이 고시생이면 기다려야 하나요?	짝남이 고시생이면 기다려야 하나요?	0
나보다 친구들을 더 좋아하는 여친.	나이를 먹을수록 새로운 사람 만나는게 두려워.	1
수업시간 내내 잤어	학교에서 계속 잠	0
화 참을 때 어떻게 하지?	화 참으려면 어떻게 하지?	0
혹시 그런 날 없나?	혼자 사랑하고 혼자 이별하고	1
완전 계탄 느낌	나 완전 계탔어!	0
마음이 예쁜 사람 만나고 싶어	마음이 착한 사람 만나고 싶어	0
예랑이 턱시도 멋져	예비 신랑이 턱시도 멋져	0
사랑의 끝은 뭘까?	사랑하고 이제 결혼해	1
만난지 100일	만난지 100일됐어	0
아직도 잊지 못하나봐	아직도. 아직 인가보다.	0
가슴 찢어지게 아파. 그 사람은 내 마음 알까?	가끔 짝남과 연애하는 상상을 해.	1
짝녀가 사귀던 사람이랑 헤어졌는데 좋아한다고 고백해도 되나.	짝녀가 사귀던 사람이랑 헤어졌는데 좋아한다고 고백해도 되나.	0
버스에서 매일 보는 사람	매일 타는 버스에서 보는 그 사람	0
길이 안보여	절망적이야	0
방에 먼지가 한가득이야. 언제 치워.	집에 먼지가 쌓였네	0
주식 막 떨어지네.	주식 망 한강 가자.	0
좋아하는 남자의 단점을 들었는데도 좋아.	좋아하는 마음이 안 생길 것 같다고 떠난 여자.	1
쉬운 게 하나도 없는 듯	다 어려워.	0
안주 추천 좀	안주 뭐 먹을까?	0
시계 소리 짱 커	시계침 소리가 크게 들리네	0
사랑.이별.추억.미련	사랑은 사랑으로 치유 한다는 그 말 믿어보려구	1
남자친구 영장 나왔대	남친 영장 나왔어	0
두번째 읽씹	뒤숭숭하네.	1
여자친구랑 어디 놀러갈까?	여자친구랑 어디 놀러갈까?	0
의심 받는 느낌적 느낌	의심 받고 있어	0
다크서클 턱밑에 있다.	다크서클 내려왔어	0
나쁜 마음이 듭니다.	나의 약점	1
다 혼자 해야 돼	혼자 할게 많네	0
놀아 줄거지	놀아줘	0
한달하고 2주가 지났는데 아직도.	한번의 기회쯤 있겠지 라고 생각했던 내생각이 어리석었습니다	1
짧다면 짧고 길다면 긴 일년간의 연애가 끝이났네	짧지 않은 세월이 정말 끝이 났네	1
다 그만 두고 싶다	다 그만하고싶어	0
방이 정리 해야 되는데 너무 어질러 놨었네.	방정리가 안돼	0
남자가 여자를 좋아할때 하는 행동이 뭐가 있나요?	남자가 여자를 좋아할때 어떻게 알아?	0
어느덧 한달.	어디서부터 어떻게 얘기를 해야할지.	1
별이진 후 무언가 사라진 날들.	보고 싶다고 만나달라고 연락하면	1
아무래도 헤어져야 할까 봐	아무일도 없었던 것처럼 살고 싶어	1
미친듯이 잡고 싶어.	믿음이 깨진여자	1
짝남이 모임 오면 좋겠다.	오늘 모임에 짝남이 나왔으면.	0
퇴근시간 왜케 안 오냐	퇴근시간만 기다려	0
랩 추천 좀. 나 좋아하는 남자애한테 잘 보이고 싶어.	나 좋아하는 남자애한테 잘 보이고 싶은데 랩 추천 좀.	0
좋아하는 사람 때문에 공부를 못하겠어.	좋아하는 사람 때문에 공부가 안 돼.	0
눈이 계속 뻑뻑해	눈이 뻑뻑해	0
스팸 문자 계속 와	스팸 문자까지 오네	0
결혼하고 나서 애 낳기 싫어졌어	결혼하고 애 낳는거 너무 힘들거 같아	0
사랑하는데 힘들어	힘들어	0
다른 생각하지 않고 공부하는 방법	잡념 없이 공부하는 방법	1
바람이 너무 많이 부네	바람 많이 부네	0
이것 또한 받아들이는 것이겠죠~??	이남자 마음을 모르겠어	1
나한테 관심이 없는 것 같은데 포기가 안돼	나한테 관심이 없는 것 같은데 왜 끈을 놓지 못할까?	0
만난지 1년됐어	우리 만난지 1년됐어	0
나는 못생겼는데 좋아하는 여자에게 연락해도 될까?	나랑 딱 맞는 사람이 있을까?	1
여자친구가 전화를 안해	여자친구가 전화하는 걸 안 좋아해	0
자니?	자?	0
매일 아침 정류장에서 보게되는 그	매일 아침 정류장에서 보게되는 그 사람	0
헤어진지 2달 되가는데 오늘 무지 힘드네	헤어진지 3개월이 지났네.	1
넌 충분히 좋은 사람이였어	네 꿈을 자주 꾸는데	1
사람 만나는 거 너무 어려워	사람 만나는 게 쉽지 않아	0
생각 안나는 방법 없나	생각할 시간을 달라고 한 남친	1
헤어진지 15일	헤어진지 1달	1
헤어진지는 좀 오래 됐어.	헤어진후 4일짼데 하 생각보다 진짜 힘드네	1
자꾸 졸게 되네	화장실!!	1
일이 끝날 기미가 안 보여	아직도 안 끝났어	0
운명 같은 사랑 가능할까?	운명이 있을까	0
사실 사랑이 뭔지 아직도 모르겠어	사랑이 뭔지 모르겠어	0
맘이 아푸네	매달리는거 안좋은거 같아.	1
이제는 숨막히고 괴로운건 좀 무뎌졌는데	이제는 후회 없네 .	1
셀카만 계속 찍어	여친이 셀카 너무 많이 찍어	0
학교에 심남 있는데 연락해볼까?	학교에 심남 있는데 연락해볼까?	0
몇 년 만에 썸 타는 거라 어떻게 연락을 해야할지 모르겠어	오랜만이라 어떻게 연락을 해야할지 모르겠어	0
똑 부러지게 말해야지	이번에는 분명하게 말해야지	0
결국 답왔는데.기다리지 말라네	결국 만나진 못하고 카톡으로 맘 전했네	1
엄마라고 자식방에 막 들어오면 안돼지	엄마가 내 방에 막 들어와	0
노래 잘하고 싶어	노래 잘하는 사람 부러워	0
헤어진지 한달이 되어가네.	헤어진지 25일째	1
술자리에서 그만 마시라고 해주는 짝녀 무슨 뜻일까요?	술 그만 마시라고 해주는 짝녀 무슨 뜻일까요?	0
이빨 아파	이 썩은 거 같아	0
취직하면 공부 안해도 될 줄 알았어.	취직하면 공부 안해도 되는줄 알았는데	0
너무 뻔뻔하게 구는데	자기 잘못은 모르고 엄청 뻔뻔해	0
지루함에 지쳤다네.	지친다	1
시계줄 다른 색으로 바꿔야지	시계줄 바꿔야지	0
새로운 사랑 찾아 이제는	이제 새로운 사랑 찾을래	0
되고 싶은 게 두 개야	꿈이 두 개야	0
밥 너무 많이 남음	밥 너무 많이 함	0
짝사랑이 이렇게 힘들줄을 몰랐어요.	짝사랑하는 기분이 뭔지 알아요?	1
동거하다 사랑이 식으면 어떡해?	동거하는데 이별 얘기 어떡게 해?	0
헤어진지 1달 정도 되었습니다	헤어진지 2달 다되어가는데	1
꿈이 자꾸 바뀌어	꿈이 다양해	0
헤어진지 세달이 다되가네	헤어진지 일주일만에 새로운 남자가 생긴 전여친	1
보통 좋아하는 애 생기면 어떻게 친해져	좋아하는 애 생겼는데 친해지는 방법	0
이제 마음 정리도 된 거 같은데	이제 보름 다되어가네	1
오래된 노래들 다 내 이야기 같아	재회했는데 변한게 없어	1
여기서 욕해도 됨?	잘가	1
도대체 어디서부터 잘못된걸까	주위에 아무도 없는 느낌	0
사람 홧병나게하는거도 가지가지	사람이 변하나?	1
술 잘 먹는다고 이야기해도 될까?	주량 센데 솔직하게 이야기해도 될까?	0
좋아하는 애를 내가 너무 우상화하는 것 같아.	좋아하는 애를 내가 너무 우상화하는 것 같아.	0
우리 가족 모두 모두 건강하고 오래오래 행복하게 해주세요	오래 사귀었으면 좋겠다	1
같이 보고싶어 올립니다	같이 해온 5년	1
여친이 나를 안 좋아하는데 내가 붙잡고 있는 것 같아요.	여친을 내가 붙잡고 있는 것 같아요.	0
여자친구가 갑자기 이유없이 화내	여자친구가 갑자기 이유없이 화내	0
이젠 너 때문에 오래된 노래들도 못 듣겠어.	이젠 붙잡을 수 도 없는 사람.	1
데이트할 시간이 없네	너무 바빠서 데이트할 시간이 없네	0
나 보고 잘 웃는 여자애 나 좋아하는 건가?	나 쉬운 남자 아니야	1
찜질방 가서 양머리하고 놀고 싶다.	찜질방가서 땀 빼고 계란먹고 싶다	0
정말 이해할수가 없네ㅜ	정말 화가 나	1
찔리는데.	그렇게 말하니까 찔려	0
연애스타일이 너무 다른 남자친구와 어떻게 얘기를 해야할까?	어떻게 얘기를 하면 덜 어색할까?	1
밖에 안나가고 이렇게 살고 싶어	앞으로 나가지 않고 이렇게만 살고싶어	0
여름 끝났으면	여름 빨리 지나갔으면	0
머리가 콕콕 쑤셔	편두통 왔어	0
돈이 없으면 연애를 하지않는게 맞는걸까.	돈이 없으면 연애를 하지않는게 맞는걸까.	0
남자친구와 진도가 보통 어때?	남자한테 언제 설레?	1
남자친구가 충고만 해서 상처받아	남자친구가 자꾸 충고해서 상처받아	0
문 안열림	문이 안열려	0
헤어진지 1년 뭐하는건지ㅋ	헤어진지 1달반정도 됬네	1
여자예요? 남자예요?	여자야 남자야	0
어떻게 심쿵하게 하지?	심쿵하게 하려면 어떻해야 하지?	0
둔한 편인데 이것만 예민해	다른 건 무감각한데 이건 예민해	0
예전 게임인데 재밌다	보드게임 재밌다	1
우리반 남자애가 나 좋아하는 걸 너무 티내.	우리반 남자애가 나 좋아하는 걸 너무 티내.	0
긴장돼서 땀나네	생각만 해도 땀나네	0
정규직 가즈아	정규직 될 수 있을까	0
헤헤 용돈 받았어.	용돈 받음	0
오늘도 한숨만 쉬다 하루 다 갔네	오늘따라 미치네ㅜㅜ	1
이해를 못하겠어?	말을 이해를 못해?	0
더워서 죽을 것 같아.	더워 미치겠다	0
집 나가서 혼자 살고 싶다.	혼자 살고 싶다	0
어느새 나이가 30이네.	어떡해	1
편의점 간식 먹어야지	편의점에서 먹어야지	0
사랑한다는것	사진을 지웠습니다	1
헤어지신 남자분들이나 여자분들	헤어지자는 말 듣게 됐네.	1
아파트로 이사 가고 싶다.	아파트에서 살고 싶다	0
상대가 먼저 만나자고 해서 만났는데 난 아닌 거 같대	상대가 먼저 만나자고 해놓고 난 아닌 거 같대	0
좋아하는 여자애랑 다른 반이 됐는데 어떡해.	좋아하는 여자애랑 같은 반이 됐어.	0
조카 입학 선물 뭐 사냐	조카 입학 선물	0
애기 언제 가질 거냐고 왜 묻는 거지?	확실히 좋아하는 데도 관심 있는거 티 안내려고 선톡 안하고 일부러 늦게 보내고 그러는 사람도 있어요?	1
눈이 너무 많이 와	눈 좀 안 왔으면	0
자꾸 폭식하는데 어떻게 고칠 수 있을까?	폭식증 어떻게 고칠 수 있을까?	0
사랑할 자격이 있나?	사랑할 자격이 있나?	0
모쏠 여자와의 썸	모쏠이랑 썸	0
동성애 어떻게 생각해	동성애 어떻게 생각해	0
